dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.8017     0.7668     0.9961     1.0115     0.7112     0.0469     0.0469     3.6746     0.0130     SI         0.0000000000     -5.545559+0.000000j | -0.005963+0.091936j | -0.005963-0.091936j | -0.006857+0.043486j | -0.006857-0.043486j | -0.000000+0.000000j | -0.000000+0.000000j
1.0843     0.5937     0.8533     0.1838     0.3031     0.0597     0.0597     5.0084     0.0320     SI         0.0000000085     -2.949307+0.000000j | -0.015832+0.160086j | -0.015832-0.160086j | -0.003635+0.058939j | -0.003635-0.058939j | -0.000000+0.000000j | +0.000000+0.000000j
0.5026     0.5776     0.1588     0.1694     0.2911     0.1030     0.1030     5.5629     0.1118     SI         0.0000000003     -0.674964+0.000000j | -0.047531+0.261603j | -0.047531-0.261603j | -0.004566+0.142440j | -0.004566-0.142440j | +0.000000+0.000000j | +0.000000+0.000000j
0.4098     0.7131     0.1321     0.4314     0.4644     0.0930     0.0930     5.2216     0.0645     SI         0.0000008779     -1.400491+0.000000j | -0.025484+0.146361j | -0.025484-0.146361j | -0.002168+0.111452j | -0.002168-0.111452j | -0.000000+0.000000j | +0.000000+0.000000j
0.5686     0.6264     0.2307     0.2452     0.3501     0.0907     0.0907     5.4166     0.0761     SI         0.0000000000     -1.163633+0.000000j | -0.030989+0.210408j | -0.030989-0.210408j | -0.006168+0.119281j | -0.006168-0.119281j | -0.000000+0.000000j | +0.000000+0.000000j
0.8645     0.4892     0.3356     0.0587     0.1713     0.0838     0.0838     5.6709     0.0960     SI         0.0000000220     -0.848562+0.000000j | -0.047623+0.311667j | -0.047623-0.311667j | -0.003289+0.100418j | -0.003289-0.100418j | -0.000000+0.000000j | +0.000000+0.000000j
0.8844     0.4900     0.3503     0.0575     0.1695     0.0824     0.0824     5.6652     0.0927     SI         0.0000000173     -0.893342+0.000000j | -0.046403+0.305730j | -0.046403-0.305730j | -0.003182+0.097411j | -0.003182-0.097411j | -0.000000+0.000000j | +0.000000+0.000000j
1.0597     0.6103     0.8821     0.2283     0.3378     0.0587     0.0587     4.9050     0.0293     SI         0.0000000027     -3.170858+0.000000j | -0.014430+0.152359j | -0.014430-0.152359j | -0.004004+0.058170j | -0.004004-0.058170j | +0.000000+0.000000j | +0.000000+0.000000j
0.8536     0.6055     0.5062     0.2113     0.3250     0.0722     0.0722     5.2645     0.0487     SI         0.0000000001     -1.942062+0.000000j | -0.021779+0.195294j | -0.021779-0.195294j | -0.005025+0.083970j | -0.005025-0.083970j | -0.000000+0.000000j | -0.000000+0.000000j
1.0597     0.4821     0.4714     0.0351     0.1325     0.0732     0.0732     5.6397     0.0750     SI         0.0000003629     -1.203399+0.000000j | -0.038691+0.272585j | -0.038691-0.272585j | -0.001995+0.072673j | -0.001995-0.072673j | +0.000000+0.000000j | +0.000001+0.000000j
1.0353     0.5129     0.5143     0.0618     0.1759     0.0716     0.0716     5.5409     0.0640     SI         0.0000000683     -1.461075+0.000000j | -0.032325+0.243290j | -0.032325-0.243290j | -0.002626+0.075420j | -0.002626-0.075420j | -0.000000+0.000000j | -0.000000+0.000000j
0.8241     0.5090     0.3291     0.0780     0.1975     0.0845     0.0845     5.6347     0.0918     SI         0.0000000017     -0.906572+0.000000j | -0.045160+0.295118j | -0.045160-0.295118j | -0.003845+0.104801j | -0.003845-0.104801j | -0.000000+0.000000j | -0.000000+0.000000j
1.1946     0.6334     1.5114     0.3370     0.4105     0.0452     0.0452     4.1356     0.0149     SI         0.0000000024     -5.414251+0.000000j | -0.009367+0.104184j | -0.009367-0.104184j | -0.003953+0.038109j | -0.003953-0.038109j | -0.000000+0.000000j | +0.000000+0.000000j
